id,name,state_id/id
bh_city_manama,المنامة,bh_state_capital
bh_city_juffair,الجفير,bh_state_capital
bh_city_seef,السيف,bh_state_capital
bh_city_qudaibiya,القضيبية,bh_state_capital
bh_city_muharraq,المحرق,bh_state_muharraq
bh_city_hidd,الحد,bh_state_muharraq
bh_city_arad,عراد,bh_state_muharraq
bh_city_murrahaw,المرر,bh_state_muharraq
bh_city_dair,الدير,bh_state_muharraq
bh_city_busaiteen,البسيتين,bh_state_muharraq
bh_city_galali,قلالي,bh_state_muharraq
bh_city_halat_bu_maher,هلة بوماهر,bh_state_muharraq
bh_city_samaheej,سماهيج,bh_state_muharraq
bh_city_hamad_town,مدينة حمد,bh_state_northern
bh_city_northern_city,المدينة الشمالية,bh_state_northern
bh_city_karana,كرانة,bh_state_northern
bh_city_jannusan,جنوسان,bh_state_northern
bh_city_barbar,بربار,bh_state_northern
bh_city_diraz,الدراز,bh_state_northern
bh_city_markh,المرخ,bh_state_northern
bh_city_bani_jamra,بني جمرة,bh_state_northern
bh_city_budaiya,البديع,bh_state_northern
bh_city_janabiyah,الجنبية,bh_state_northern
bh_city_jasra,الجسرة,bh_state_northern
bh_city_hamala,حالة,bh_state_northern
bh_city_jabalat_habshi,جبلة حبشي,bh_state_northern
bh_city_riffa,الرفاع,bh_state_southern
bh_city_isa_town,مدينة عيسى,bh_state_southern
bh_city_awali,عوالي,bh_state_southern
bh_city_zallaq,الزلاق,bh_state_southern
kw_area_abdullah_salem,ضاحية عبد الله السالم,kw_state_asimah
kw_area_adailiya,العديلية,kw_state_asimah
kw_area_hadiya_sour,حدائق السور,kw_state_asimah
kw_area_bneid_qar,بنيد القار,kw_state_asimah
kw_area_daiya,الدعية,kw_state_asimah
kw_area_dasma,الدسمة,kw_state_asimah
kw_area_doha,الدوحة,kw_state_asimah
kw_area_faiha,الفيحاء,kw_state_asimah
kw_area_failaka,فيلكا,kw_state_asimah
kw_area_granada,غرناطة,kw_state_asimah
kw_area_qibla,القبلة,kw_state_asimah
kw_area_kaifan,كيفان,kw_state_asimah
kw_area_khaldiya,الخالدية,kw_state_asimah
kw_area_mansouriya,المنصورية,kw_state_asimah
kw_area_mirqab,المرقاب,kw_state_asimah
kw_area_nahda,النهضة,kw_state_asimah
kw_area_nw_sulaibikhat,شمال غرب الصليبيخات,kw_state_asimah
kw_area_nuzha,النزهة,kw_state_asimah
kw_area_qadisiya,القادسية,kw_state_asimah
kw_area_qurtuba,قرطبة,kw_state_asimah
kw_area_rawda,الروضة,kw_state_asimah
kw_area_shamiya,الشامية,kw_state_asimah
kw_area_sharq,شرق,kw_state_asimah
kw_area_shuwaikh,الشويخ,kw_state_asimah
kw_area_shuwaikh_industrial,الشويخ الصناعية,kw_state_asimah
kw_area_sulaibikhat,الصليبخات,kw_state_asimah
kw_area_qairawan,القيروان,kw_state_asimah
kw_area_surra,السرة,kw_state_asimah
kw_area_yarmouk,اليرموك,kw_state_asimah
kw_area_fintas,الفنطاس,kw_state_ahmadi
kw_area_uqaila,العقيلة,kw_state_ahmadi
kw_area_dhaher,الظهر,kw_state_ahmadi
kw_area_maqwa,المقوع,kw_state_ahmadi
kw_area_mahboula,المهبولة,kw_state_ahmadi
kw_area_riqqa,الرقة,kw_state_ahmadi
kw_area_hadiya,هدية,kw_state_ahmadi
kw_area_abu_halifa,أبو حليفة,kw_state_ahmadi
kw_area_sabahiya,الصباحية,kw_state_ahmadi
kw_area_mangaf,المنقف,kw_state_ahmadi
kw_area_fahaheel,الفحيحيل,kw_state_ahmadi
kw_area_ahmadi,الأحمدي,kw_state_ahmadi
kw_area_wafra,الوفرة,kw_state_ahmadi
kw_area_zour,الزور,kw_state_ahmadi
kw_area_khiran,الخيران,kw_state_ahmadi
