id,name,name_en,state_id/id
city_1,الرياض,RIYADH,region_1
city_2,جدة,JEDDAH,region_3
city_3,تاروت,TARUT,region_2
city_4,سيهات,SAYHAT,region_2
city_5,الظهران,DHAHRAN,region_2
city_16,الدمام,AD DAMMAM,region_2
city_17,مكة المكرمة,MAKKAH AL MUKARRAMAH,region_3
city_18,الخبر,AL KHUBAR,region_2
city_20,الجبيل,AL JUBAIL,region_2
city_21,القطيف,AL QATIF,region_2
city_23,المدينة المنورة,AL MADINAH AL MUNAWWARAH,region_8
city_24,بريدة,BURAYDAH,region_9
city_25,ابها,ABHA,region_10
city_26,تبوك,TABUK,region_11
city_27,حائل,HAIL,region_12
city_29,جازان,JAZAN,region_14
city_30,نجران,NAJRAN,region_15
city_31,الباحة,AL BAHA,region_16
city_32,سكاكا,SAKAKA,region_17
city_37,خميس مشيط,KHAMIS MUSHAYT,region_10
city_38,بيشة,BISHAH,region_10
city_39,النماص,An Namas,region_10
city_40,محايل,MUHAYIL,region_10
city_41,ظهران الجنوب,DHAHRAN AL JANUB,region_10
city_42,سراة عبيدة,SARAT ABIDAH,region_10
city_43,احد رفيده,AHAD RIFAYDAH,region_10
city_44,بلقرن,BALQARN,region_10
city_45,رجال المع,Rijal Alma,region_10
city_46,المجاردة,AL MAJARDAH,region_10
city_47,تثليث,TATHLITH,region_10
city_48,تنومة,TANOUMA,region_10
city_49,بللسمر,BILLASMAR,region_10
city_50,بللحمر,BILLAHMAR,region_10
city_51,بلجرشي,Biljurashi,region_16
city_52,العقيق,Al Aqiq,region_16
city_53,القرى,ALQURA,region_16
city_54,قلوة,QILWAH,region_16
city_55,المخواة,MEKHWA,region_16
city_56,المندق,AL MANDAQ,region_16
city_57,عنيزة,UNAYZAH,region_9
city_58,الرس,AR RASS,region_9
city_59,المذنب,AL MIDHNAB,region_9
city_60,البكيرية,AL BUKAYRIYAH,region_9
city_61,البدائع,AL BADAI',region_9
city_62,رياض الخبراء,RIYAD AL KHABRA,region_9
city_63,بريد الخبراء,BARID AL KHABRA,region_9
city_64,الاسياح,ALASYIAH,region_9
city_66,النبهانية,AN NABHANIYAH,region_9
city_67,الشماسية,ASH SHIMASIYAH,region_9
city_68,دخنة,dukhnah,region_9
city_69,الذيبية,ADH DHIBIYAH,region_9
city_70,مركز الدليمية,ALDULYIMIYA,region_9
city_71,مركز القرين,ALQREEN,region_9
city_72,مركز صبيح,SEBEH,region_9
city_73,مركزالهمجة,ALHAMJA,region_9
city_74,مركزابانات,ABANAT,region_9
city_75,مركزعطي,ATI,region_9
city_76,ضرية,dariyah,region_9
city_77,مركزالغماس,GHAMAS,region_9
city_78,مركزالبصر,ALBASR,region_9
city_79,مركز الشيحية,ALSHEHIYA,region_9
city_80,مركز الربيعية,ALRABIEIYA,region_9
city_81,مركز الفوارة,ALFAWARA,region_9
city_82,مركز عقلة الصقور,AQLAT ALSOUQOOR,region_9
city_83,قبة,QUBA,region_9
city_84,مركزأبا الورود,ABA AL WOROUD,region_9
city_85,مركز العمار,ALAMAR,region_9
city_86,مركز القوارة,ALQAWARA,region_9
city_87,مركز قصيباء,QUSAIBA,region_9
city_89,مركز الصمعورية,ALSAMAOURIYA,region_9
city_90,تيماء,TAYMA',region_11
city_91,املج,UMLUJ,region_11
city_92,الوجه,AL WAJH,region_11
city_93,حقل,haql,region_11
city_94,البدع,AL BAD',region_11
city_95,حالة عمار,HALAT AMMAR,region_11
city_97,القليبة,AL QALIBAH,region_11
city_98,مركز البئر,ALBEI'R,region_11
city_102,ضبا,DUBA,region_11
city_103,صبيا,SABYA,region_14
city_104,ابو عريش,ABU ARISH,region_14
city_105,بيش,BAYSH,region_14
city_106,العارضة,AL 'ARIDAH,region_14
city_107,الدائر,ALDAIER BANI MALEK,region_14
city_108,مدينة فيفا الشرقية,VIVA ALSHARQIYA,region_14
city_109,مدينة فيفا الغربية,VIVA ALGHARBIYA,region_14
city_110,عيبان,'AIBAN,region_14
city_111,فرسان,FARASAN,region_14
city_113,الريث,AR RAYTH,region_14
city_114,الحقو,AL HAQU,region_14
city_116,الدرب ( القياس ),ALDARB (ALQYAS),region_14
city_117,العالية,AL 'ALIYAH,region_14
city_122,الريان,AR RAYYAN,region_14
city_124,الشقيق,AL SHUQAYQ,region_14
city_125,صامطة,SAMTAH,region_14
city_126,احد المسارحة,AHAD AL MUSARIHAH,region_14
city_129,الموسم,AL MUWASSAM,region_14
city_130,ضمد,Damad,region_14
